,x,y
0,3.6,79.0
1,1.8,54.0
2,3.333,74.0
3,2.283,62.0
4,4.533,85.0
5,2.883,55.0
6,4.7,88.0
7,3.6,85.0
8,1.95,51.0
9,4.35,85.0
10,1.833,54.0
11,3.917,84.0
12,4.2,78.0
13,1.75,47.0
14,4.7,83.0
15,2.167,52.0
16,1.75,62.0
17,4.8,84.0
18,1.6,52.0
19,4.25,79.0
20,1.8,51.0
21,1.75,47.0
22,3.45,78.0
23,3.067,69.0
24,4.533,74.0
25,3.6,83.0
26,1.967,55.0
27,4.083,76.0
28,3.85,78.0
29,4.433,79.0
30,4.3,73.0
31,4.467,77.0
32,3.367,66.0
33,4.033,80.0
34,3.833,74.0
35,2.017,52.0
36,1.867,48.0
37,4.833,80.0
38,1.833,59.0
39,4.783,90.0
40,4.35,80.0
41,1.883,58.0
42,4.567,84.0
43,1.75,58.0
44,4.533,73.0
45,3.317,83.0
46,3.833,64.0
47,2.1,53.0
48,4.633,82.0
49,2.0,59.0
50,4.8,75.0
51,4.716,90.0
52,1.833,54.0
53,4.833,80.0
54,1.733,54.0
55,4.883,83.0
56,3.717,71.0
57,1.667,64.0
58,4.567,77.0
59,4.317,81.0
60,2.233,59.0
61,4.5,84.0
62,1.75,48.0
63,4.8,82.0
64,1.817,60.0
65,4.4,92.0
66,4.167,78.0
67,4.7,78.0
68,2.067,65.0
69,4.7,73.0
70,4.033,82.0
71,1.967,56.0
72,4.5,79.0
73,4.0,71.0
74,1.983,62.0
75,5.067,76.0
76,2.017,60.0
77,4.567,78.0
78,3.883,76.0
79,3.6,83.0
80,4.133,75.0
81,4.333,82.0
82,4.1,70.0
83,2.633,65.0
84,4.067,73.0
85,4.933,88.0
86,3.95,76.0
87,4.517,80.0
88,2.167,48.0
89,4.0,86.0
90,2.2,60.0
91,4.333,90.0
92,1.867,50.0
93,4.817,78.0
94,1.833,63.0
95,4.3,72.0
96,4.667,84.0
97,3.75,75.0
98,1.867,51.0
99,4.9,82.0
100,2.483,62.0
101,4.367,88.0
102,2.1,49.0
103,4.5,83.0
104,4.05,81.0
105,1.867,47.0
106,4.7,84.0
107,1.783,52.0
108,4.85,86.0
109,3.683,81.0
110,4.733,75.0
111,2.3,59.0
112,4.9,89.0
113,4.417,79.0
114,1.7,59.0
115,4.633,81.0
116,2.317,50.0
117,4.6,85.0
118,1.817,59.0
119,4.417,87.0
120,2.617,53.0
121,4.067,69.0
122,4.25,77.0
123,1.967,56.0
124,4.6,88.0
125,3.767,81.0
126,1.917,45.0
127,4.5,82.0
128,2.267,55.0
129,4.65,90.0
130,1.867,45.0
131,4.167,83.0
132,2.8,56.0
133,4.333,89.0
134,1.833,46.0
135,4.383,82.0
136,1.883,51.0
137,4.933,86.0
138,2.033,53.0
139,3.733,79.0
140,4.233,81.0
141,2.233,60.0
142,4.533,82.0
143,4.817,77.0
144,4.333,76.0
145,1.983,59.0
146,4.633,80.0
147,2.017,49.0
148,5.1,96.0
149,1.8,53.0
150,5.033,77.0
151,4.0,77.0
152,2.4,65.0
153,4.6,81.0
154,3.567,71.0
155,4.0,70.0
156,4.5,81.0
157,4.083,93.0
158,1.8,53.0
159,3.967,89.0
160,2.2,45.0
161,4.15,86.0
162,2.0,58.0
163,3.833,78.0
164,3.5,66.0
165,4.583,76.0
166,2.367,63.0
167,5.0,88.0
168,1.933,52.0
169,4.617,93.0
170,1.917,49.0
171,2.083,57.0
172,4.583,77.0
173,3.333,68.0
174,4.167,81.0
175,4.333,81.0
176,4.5,73.0
177,2.417,50.0
178,4.0,85.0
179,4.167,74.0
180,1.883,55.0
181,4.583,77.0
182,4.25,83.0
183,3.767,83.0
184,2.033,51.0
185,4.433,78.0
186,4.083,84.0
187,1.833,46.0
188,4.417,83.0
189,2.183,55.0
190,4.8,81.0
191,1.833,57.0
192,4.8,76.0
193,4.1,84.0
194,3.966,77.0
195,4.233,81.0
196,3.5,87.0
197,4.366,77.0
198,2.25,51.0
199,4.667,78.0
200,2.1,60.0
201,4.35,82.0
202,4.133,91.0
203,1.867,53.0
204,4.6,78.0
205,1.783,46.0
206,4.367,77.0
207,3.85,84.0
208,1.933,49.0
209,4.5,83.0
210,2.383,71.0
211,4.7,80.0
212,1.867,49.0
213,3.833,75.0
214,3.417,64.0
215,4.233,76.0
216,2.4,53.0
217,4.8,94.0
218,2.0,55.0
219,4.15,76.0
220,1.867,50.0
221,4.267,82.0
222,1.75,54.0
223,4.483,75.0
224,4.0,78.0
225,4.117,79.0
226,4.083,78.0
227,4.267,78.0
228,3.917,70.0
229,4.55,79.0
230,4.083,70.0
231,2.417,54.0
232,4.183,86.0
233,2.217,50.0
234,4.45,90.0
235,1.883,54.0
236,1.85,54.0
237,4.283,77.0
238,3.95,79.0
239,2.333,64.0
240,4.15,75.0
241,2.35,47.0
242,4.933,86.0
243,2.9,63.0
244,4.583,85.0
245,3.833,82.0
246,2.083,57.0
247,4.367,82.0
248,2.133,67.0
249,4.35,74.0
250,2.2,54.0
251,4.45,83.0
252,3.567,73.0
253,4.5,73.0
254,4.15,88.0
255,3.817,80.0
256,3.917,71.0
257,4.45,83.0
258,2.0,56.0
259,4.283,79.0
260,4.767,78.0
261,4.533,84.0
262,1.85,58.0
263,4.25,83.0
264,1.983,43.0
265,2.25,60.0
266,4.75,75.0
267,4.117,81.0
268,2.15,46.0
269,4.417,90.0
270,1.817,46.0
271,4.467,74.0
